,track_uri,artist_uri,genres
12,3HlXvjGcDVRdrDAKzu9aRi,6NXk2pLFocS2OkNdT7ncBt,canadian pop
13,0BpqRe4V2t3EIln48L1ZEQ,7CJgLPEqiIRuneZSolpawQ,polish hip hop
13,0BpqRe4V2t3EIln48L1ZEQ,7CJgLPEqiIRuneZSolpawQ,polish trap
14,64F1Z2LAsf04V346A75hi1,5xoXMR6Y8PORwObvyND9ZE,polish pop
15,0jigRoZXuYj8kfcZFsinKm,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
15,0jigRoZXuYj8kfcZFsinKm,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
15,0jigRoZXuYj8kfcZFsinKm,3BroLrMp9Q01yOnhLn9qxX,polish pop
16,3dzAiCtu7VaJKvAojuUtdw,2vUbOx0zj57h8lbQK4dYaM,
17,2zYiOrVyeScMjtqzyqWfPM,7CJgLPEqiIRuneZSolpawQ,polish hip hop
17,2zYiOrVyeScMjtqzyqWfPM,7CJgLPEqiIRuneZSolpawQ,polish trap
18,4A9FCoFyjxQ9n46UUagPb3,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
18,4A9FCoFyjxQ9n46UUagPb3,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
18,4A9FCoFyjxQ9n46UUagPb3,3BroLrMp9Q01yOnhLn9qxX,polish pop
19,6XflO5XmVEqfrSAiBkG0cC,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
19,6XflO5XmVEqfrSAiBkG0cC,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
19,6XflO5XmVEqfrSAiBkG0cC,3BroLrMp9Q01yOnhLn9qxX,polish pop
20,26LQOteHytZUQkRrQTsWYE,0rasA5Z5h1ITtHelCpfu9R,electronica
20,26LQOteHytZUQkRrQTsWYE,0rasA5Z5h1ITtHelCpfu9R,german techno
20,26LQOteHytZUQkRrQTsWYE,0rasA5Z5h1ITtHelCpfu9R,leipzig electronic
20,26LQOteHytZUQkRrQTsWYE,0rasA5Z5h1ITtHelCpfu9R,minimal techno
20,26LQOteHytZUQkRrQTsWYE,0rasA5Z5h1ITtHelCpfu9R,tech house
21,2qAv6N12wRj8RFv3VW0WgQ,0rasA5Z5h1ITtHelCpfu9R,electronica
