,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
7310,2021-09-03 07:20,Don Diablo,Tears For Later,166274,Don Diablo:Tears For Later,0,,
7311,2021-09-03 07:24,1991,The People - D&B Mix,203628,1991:The People - D&B Mix,0,,
7312,2021-09-03 07:27,Valentino Khan,Gold (feat. Sean Paul),194188,Valentino Khan:Gold (feat. Sean Paul),0,,
7313,2021-09-03 07:30,Alesso,Going Dumb,168202,Alesso:Going Dumb,0,,
7314,2021-09-03 07:34,Kaskade,Where Did You Go,224278,Kaskade:Where Did You Go,0,,
7315,2021-09-03 07:37,Major Lazer,Believer,222909,Major Lazer:Believer,0,,
7316,2021-09-03 07:41,Gentlemens Club,Wasted Time,203588,Gentlemens Club:Wasted Time,0,,
7317,2021-09-03 07:44,Swedish House Mafia,It Gets Better,184156,Swedish House Mafia:It Gets Better,0,,
7318,2021-09-03 07:46,Robin Schulz,All We Got (feat. KIDDO) - Ofenbach Remix,129449,Robin Schulz:All We Got (feat. KIDDO) - Ofenbach Remix,0,,
7319,2021-09-03 07:50,Dua Lipa,Hallucinate - Paul Woolford Remix,238122,Dua Lipa:Hallucinate - Paul Woolford Remix,0,,
7320,2021-09-03 07:53,Jonasu,Black Magic,173727,Jonasu:Black Magic,0,,
7321,2021-09-03 07:56,Gryffin,I Want Love (with Two Feet),193874,Gryffin:I Want Love (with Two Feet),0,,
7322,2021-09-03 08:02,Avoure,World On Fire,334767,Avoure:World On Fire,0,,
7323,2021-09-03 08:05,Major Lazer,"Particula (feat. DJ Maphorisa, Nasty C, Ice Prince, Patoranking & Jidenna)",204169,"Major Lazer:Particula (feat. DJ Maphorisa, Nasty C, Ice Prince, Patoranking & Jidenna)",0,,
7324,2021-09-03 08:08,Timmy Trumpet,Mad World,152897,Timmy Trumpet:Mad World,0,,
7325,2021-09-03 08:11,With You.,Ghost (feat. Vince Staples) - Major Lazer Remix,205203,With You.:Ghost (feat. Vince Staples) - Major Lazer Remix,0,,
7326,2021-09-03 08:15,Axwell,Nobody Else - 1991 Remix,214590,Axwell:Nobody Else - 1991 Remix,0,,
7327,2021-09-03 08:18,Ed Sheeran,Shape of You (feat. Nyla & Kranium) - Major Lazer Remix,191538,Ed Sheeran:Shape of You (feat. Nyla & Kranium) - Major Lazer Remix,0,,
